Year	Age	Country	Sex	e0
1945	0	AUS	F	70,28
1946	0	AUS	F	70,15
1947	0	AUS	F	70,96
1955	0	AUT	F	70,36
1956	0	AUT	F	70,54
1957	0	AUT	F	70,51
1952	0	BEL	F	70,46
1953	0	BEL	F	70,9
1958	0	BGR	F	70,41
1960	0	BGR	F	70,92
1950	0	CAN	F	70,58
1951	0	CAN	F	70,87
1954	0	CZE	F	70,57
1954	0	FIN	F	70,65
1955	0	FIN	F	70,66
1957	0	FIN	F	70,6
1952	0	FRATNP	F	70,22
1953	0	FRATNP	F	70,23
1960	0	HUN	F	70,17
1962	0	HUN	F	70,13
1948	0	ISL	F	70,65
1956	0	IRL	F	70,72
1957	0	IRL	F	70,64
1955	0	ITA	F	70,36
1957	0	ITA	F	70,09
1960	0	JPN	F	70,14
1961	0	JPN	F	70,83
1959	0	LTU	F	70,63
1947	0	NLD	F	70,84
1948	0	NZL_NP	F	70,83
1949	0	NZL_NP	F	70,74
1945	0	NOR	F	70,45
1960	0	POL	F	70,63
1961	0	POL	F	70,81
1962	0	POL	F	70,53
1970	0	PRT	F	70,11
1971	0	PRT	F	70,12
1956	0	SVK	F	70,41
1942	0	SWE	F	70,36
1943	0	SWE	F	70,08
1946	0	SWE	F	70,67
1947	0	SWE	F	70,63
1949	0	CHE	F	70,04
1951	0	CHE	F	70,97
1948	0	GBR_NP	F	70,62
1949	0	GBR_NP	F	70,3
1950	0	GBR_NP	F	70,92
1951	0	GBR_NP	F	70,68
1948	0	USA	F	70,07
1949	0	USA	F	70,52
1949	0	GBRTENW	F	70,72
1949	0	GBRCENW	F	70,72
1953	0	GBR_SCO	F	70,67
1954	0	GBR_SCO	F	70,58
1955	0	GBR_SCO	F	70,66
1952	0	GBR_NIR	F	70,34
1953	0	GBR_NIR	F	70,65
1954	0	GBR_NIR	F	70,99
1955	0	GBR_NIR	F	70,83
1983	0	NZL_MA	F	70,63
1985	0	NZL_MA	F	70,97
1996	0	NZL_MA	F	70,97
1944	0	NZL_NM	F	70,01
1945	0	NZL_NM	F	70,24
1946	0	NZL_NM	F	70,43
1956	0	DEUTE	F	70,88
1957	0	DEUTE	F	70,51
1958	0	DEUTE	F	70,95
1959	0	DEUTE	F	70,9
1956	0	DEUTW	F	70,89
1977	0	AUS	M	70,07
1978	0	AUS	M	70,33
1979	0	AUS	M	70,85
1984	0	AUT	M	70
1985	0	AUT	M	70,32
1986	0	AUT	M	70,89
1981	0	BEL	M	70,28
1982	0	BEL	M	70,59
1983	0	BEL	M	70,61
1984	0	BEL	M	70,95
2009	0	BGR	M	70,17
2010	0	BGR	M	70,39
2011	0	BGR	M	70,73
2012	0	BGR	M	70,91
1975	0	CAN	M	70
1976	0	CAN	M	70,38
1977	0	CAN	M	70,63
1978	0	CAN	M	70,91
2001	0	HRV	M	70,94
1996	0	CZE	M	70,31
1997	0	CZE	M	70,42
1955	0	DNK	M	70,39
1956	0	DNK	M	70,4
1957	0	DNK	M	70,15
1958	0	DNK	M	70,48
1959	0	DNK	M	70,59
1960	0	DNK	M	70,43
1961	0	DNK	M	70,56
1962	0	DNK	M	70,32
1963	0	DNK	M	70,41
